score,hla,n_pep,macro,mx,var,n_ge_best,p_max,p_max_bh
kf3_sum_b,A*02:01,10,0.500327485380117,0.5266666666666666,0.0002021977360555381,0,0.4107946026986507,0.5687699628446646
kf1_sum_a,B*40:01,10,0.5011695906432748,0.5261988304093568,0.00023196470708936097,0,0.41529235382308843,0.5687699628446646
kf8_sum_b,B*40:01,10,0.500608187134503,0.5259649122807017,0.0001624809001060157,0,0.4332833583208396,0.5807840760470828
kf10_mean_a,A*02:01,10,0.5003274853801168,0.5258479532163742,0.00015001894600047853,0,0.42328835582208896,0.5734874498234754
kf5_mean_b,B*40:01,10,0.5004210526315789,0.5251461988304094,0.00018458794158886493,0,0.4752623688155922,0.6303479839027855
kf8_sum_b,A*02:01,10,0.5007953216374269,0.5247953216374269,0.00020970500324886304,0,0.4867566216891554,0.6335014311026306
kf7_sum_a,A*02:01,10,0.500608187134503,0.5246783625730994,0.00022582483499196363,0,0.49775112443778113,0.6335014311026306
kf2_sum_ab,B*40:01,10,0.5004444444444445,0.5245614035087719,0.00020312246503197546,0,0.4917541229385307,0.6335014311026306
kf1_mean_b,A*02:01,10,0.5002105263157894,0.5244444444444445,0.00010346239868677548,0,0.511744127936032,0.6447976011994002
len_ab,A*02:01,10,0.500462408550834,0.5240178878568972,0.00012911933595468927,0,0.496751624187906,0.6335014311026306
kf6_sum_b,B*40:01,10,0.5008187134502924,0.523859649122807,0.00019359666222085444,0,0.5332333833083458,0.6652218445232829
kf7_mean_b,B*40:01,10,0.5004444444444445,0.5232748538011696,0.000200553469443589,0,0.5562218890554723,0.68709762765676
pgen_b,A*02:01,10,0.5008654970760233,0.5230409356725146,0.00021814630142608012,0,0.5777111444277861,0.706714603863117
kf7_sum_b,B*40:01,10,0.5005263157894737,0.5223391812865497,0.00020167367737081474,0,0.600199900049975,0.7271652635220852
kf9_sum_b,B*40:01,10,0.5006783625730995,0.5216374269005848,0.0002500593002975276,0,0.6316841579210395,0.7580209895052474
kf10_mean_b,A*02:01,10,0.5007251461988304,0.5214035087719299,0.00023595581546458777,0,0.6531734132933533,0.7764136799524766
kf8_sum_a,A*02:01,10,0.5007251461988304,0.5212865497076024,0.00018463062138777733,0,0.6686656671664168,0.7874006921772759
kf4_sum_a,A*02:01,10,0.500842105263158,0.5207017543859649,0.0001934647925857527,0,0.6931534232883558,0.8012599204984663
kf8_mean_b,B*40:01,10,0.5002105263157894,0.5207017543859649,0.00014203016312711598,0,0.6816591704147926,0.7952690321505914
kf1_sum_ab,A*02:01,10,0.5006081871345028,0.5203508771929825,0.00012817837967237774,0,0.7031484257871065,0.8054245604470492
kf10_mean_b,B*40:01,10,0.500374269005848,0.52,0.00012063554597995985,0,0.7101449275362319,0.8061104582843713
kf8_mean_a,A*02:01,10,0.5004912280701753,0.519298245614035,0.00015781074518655302,0,0.736631684157921,0.8287106446776612
