cohort,chain,min_n,pseudo,d,n_ep,n_finite,n_pinned,sn,lo,hi
immrep25_pos,B,20,1.0,3,20,20,0,2.1152999842026214,1.3762202705196465,3.2512920489669055
immrep25_pos,B,30,0.0,1,20,6,0,42.220438003666835,25.431097507033513,70.09392279387346
immrep25_pos,B,30,0.0,2,20,15,0,10.10870784682042,6.347967508774894,16.097431845880664
immrep25_pos,B,30,0.0,3,20,17,0,3.4948805388434776,2.378079818642804,5.136156442283611
immrep25_pos,B,30,0.1,1,20,20,4,4.044946090667014,1.8740989142576303,8.730376370173358
immrep25_pos,B,30,0.1,2,20,20,0,3.5150437447704292,1.6664684671663517,7.4142012111750075
immrep25_pos,B,30,0.1,3,20,20,0,1.8883253367011272,0.9296961059275171,3.8354173525014503
immrep25_pos,B,30,0.5,1,20,20,4,2.3771371861707125,1.4797470620871689,3.818748045970263
immrep25_pos,B,30,0.5,2,20,20,0,3.0470094980510583,1.8088381500708373,5.132723942631227
immrep25_pos,B,30,0.5,3,20,20,0,2.137866888911622,1.2911886386399987,3.5397421398616955
immrep25_pos,B,30,1.0,1,20,20,4,1.888219890927546,1.3111072317010137,2.719361368992499
immrep25_pos,B,30,1.0,2,20,20,0,2.5437421680059016,1.6453822206566786,3.932596411980745
immrep25_pos,B,30,1.0,3,20,20,0,2.1152999842026214,1.3762202705196465,3.2512920489669055
immrep25_pos,B,50,0.0,1,15,4,0,34.86159309807751,22.918033754028812,53.02944774318957
immrep25_pos,B,50,0.0,2,15,10,0,7.45695594963592,4.479629825770838,12.413122109981943
immrep25_pos,B,50,0.0,3,15,12,0,2.8272009030277907,1.8111282488458196,4.413306982084183
immrep25_pos,B,50,0.1,1,15,15,4,2.440011756725591,1.1906840235987364,5.000199259384287
immrep25_pos,B,50,0.1,2,15,15,0,2.1671622206761403,0.9417265001325013,4.987214536349064
immrep25_pos,B,50,0.1,3,15,15,0,1.311354667953113,0.5584394113830492,3.079387002617662
immrep25_pos,B,50,0.5,1,15,15,4,1.6682749147898808,1.1475486225973481,2.4252926076612376
immrep25_pos,B,50,0.5,2,15,15,0,2.1256335575039187,1.2405915761904573,3.642067306841931
immrep25_pos,B,50,0.5,3,15,15,0,1.6034440887131036,0.8988221940210628,2.8604466631236147
immrep25_pos,B,50,1.0,1,15,15,4,1.4201704790011345,1.0997097857405813,1.8340149515611288
immrep25_pos,B,50,1.0,2,15,15,0,1.8790238973876003,1.2222428769544178,2.888730933537166
immrep25_pos,B,50,1.0,3,15,15,0,1.6389471004613974,1.0162790023924952,2.6431202374418534
vdjdb_hq,A,10,0.0,1,76,52,0,30.356462625029184,19.869204410213214,46.37904991460627
vdjdb_hq,A,10,0.0,2,76,62,0,17.90878641478074,12.038247476637784,26.642136363507607
vdjdb_hq,A,10,0.0,3,76,67,0,8.845868732834603,6.270697456918262,12.478579005946271
vdjdb_hq,A,10,0.1,1,76,76,1,8.664238745146926,5.694162172285072,13.183508084522977
